stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,0,2.14,0,0,0,0,0,0,0,6.42,141.21,0,0,0,0,0,0,6.42,2.14,0,0,1.07,0,0,4.28,0,0,0,0
21Day,0,5.35,44.17,0,0,0,0,0,1.34,0,0,18.74,0,196.76,5.35,2.68,0,0,0,2.68,1.34,6.69,0,0,1.34,2.68,0,2.68,2.68,0,0,5.35
3Month,0.64,3.84,10.24,0.32,0,0.32,9.92,3.84,8.32,4.16,0.96,77.75,0.64,1.28,2.88,2.24,1.6,0,1.6,1.92,0.32,0,1.28,0.32,0,0.64,19.84,0,0,0.32,4.48,10.88
22Month,2.19,16.4,18.59,0.55,0,0,19.13,27.88,40.45,4.37,2.19,483.24,1.64,1.09,10.39,6.01,0.55,1.09,0.55,0,1.09,0,0.55,0.55,0.55,2.19,2.19,0.55,0,0,0,8.2
