stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,36.78,0,0,0,0,0,0,0,16.35,0,0,0,0,8.17,866.32,0,4.09,0,0,0,40.86,0,0,0,0,8.17,0,0,0
72hpf,8.56,1.07,41.72,0,2.14,0,1.07,0,0,0,0,0,0,0,0,4.28,563.78,1.07,3.21,0,0,26.74,13.91,0,8.56,1.07,0,0,0,0,0
21Day,0,0,65.59,1.34,2.68,0,0,0,0,0,0,0,0,1.34,0,4.02,20.08,0,0,0,0,2.68,0,0,0,1.34,0,0,0,0,0
3Month,0,0,87.03,0,0,0.64,0,0,0.96,0,0,5.76,0.64,0,3.2,4.16,3.2,2.24,0.32,0.32,0.32,0,0,0,0,0.64,1.28,0,0,0.96,0.64
22Month,0,0.55,18.59,0,0,0,0,0.55,4.37,0.55,0,25.15,1.09,0,1.64,2.73,0,3.83,2.19,0,0.55,0.55,0,1.09,0.55,0.55,0.55,0,0.55,0,0
