stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,1.07,1.07,1.07,0,0,0,0,2.14,1.07,197.91,2.14,0,0,0,52.42,63.12,1.07
21Day,2.68,0,12.05,1.34,0,4.02,0,1.34,5.35,2.68,26.77,5.35,1.34,8.03,0,73.62,364.08,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.64,0
22Month,0,0,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0,0
