stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,1.34,0,0,37.48,1.34,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,1.34
3Month,0,5.12,0,0.96,2.56,0.96,0,7.36,2.56,0,342.35,1.28,1.6,2.56,0.64,0,0.32,0.96,0,0.32,0.32,0.32,0.64,2.24,0.32,0.96,0.96,1.28
22Month,0.55,1.09,0,0,0.55,1.64,1.64,22.41,0,0.55,206.09,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0
