stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,12.05,0,0,0,0,2.68,1.34,0,4.02,0,1.34,1.34,0
3Month,1.6,0,0.96,0,0.64,0.32,0,0,0,0,0,0,0.32
22Month,0,0.55,1.09,0.55,1.64,0.55,0,0.55,0,0.55,0,0,0
