stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,18.19,1.07,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,5.35,0,0,0,2.68,0,0,0
3Month,0,0.32,3.2,0.96,0.32,6.72,1.6,0.64,0.32,0.96,1.28,0.96,0.96,0,0,2.56,0.32,3.84,0.32,0,0.32,219.81,0.96
22Month,0,0,0.55,0,0.55,3.28,0,0,0,0,0.55,0,0,0.55,0,2.73,0,0,0,0,0,0,0
