stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,12.26,4.09,4.09,0,0,0,0,8.17,0,0,0,0,0,12.26,20.43,32.69,0,20.43,290.13,4.09,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,6.42,21.4,0,1.07,0,0,0,0,0
21Day,0,8.03,0,14.72,0,2.68,0,0,0,0,0,0,0,0,0,0,4.02,1.34,1.34,8.03,0,4.02,0,1.34,0,0,0
3Month,0,0.64,0,0,0,0,0.32,0.64,0,2.24,0.32,0,0.32,0,0.32,0,0.32,0,0.32,0,0,0,3.2,0,0.32,2.24,0.32
22Month,0,0.55,0,0,0.55,0.55,0,1.64,0,3.28,0,0.55,2.19,0,0,2.19,0,0.55,0,0,0.55,0,2.73,0,0,0,0.55
