stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,1.07,0,0,0,0,0,0,2.14,0,0,0,0,0,6.42,0,0,2.14,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,3.84,0.32,0,0,0.32,0.64,6.72,0.32,0.64,0.64,0,0.64,0.32,0.32,0.64,0.96,0.32,0.32,8.64,0,0.32,29.44,0.32
22Month,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0,0
