stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,7065.39,0,0,57.21,0,4.09,0,0,4.09,0,0,0,0,0,16.35,24.52,20.43,0,0,0,0,16.35,237.01,0,0,0,0,0,0,0,0,0,0,0
72hpf,6324.61,17.12,0,39.58,10.7,52.42,0,1.07,0,0,0,1.07,0,11.77,74.89,5.35,142.28,0,4.28,3.21,0,427.92,202.19,2.14,2.14,84.51,0,0,32.09,1.07,2.14,5.35,0,0
21Day,6032.77,9.37,6.69,204.8,9.37,127.16,21.42,10.71,0,37.48,4.02,49.53,36.14,10.71,105.74,49.53,277.08,0,1.34,30.79,1.34,242.27,127.16,2.68,5.35,101.73,73.62,2.68,24.09,8.03,68.27,5.35,0,37.48
3Month,17.92,0,0,1.28,0,0,0,0.32,0,2.24,0.96,0,0.96,0.32,0,0.32,1.92,0,0,0.32,0,0,0,0,0,0,0,14.4,0,0,0,0,0.64,0
22Month,0,0.55,0,0,0,0,0,2.73,0,3.28,1.09,0,1.09,0,0,0,0,0.55,0,0,0,0.55,0,0.55,0,0,0,71.07,0.55,0,0,0,0,0.55
