stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,2.14,1.07,590.52,1.07,0,0,0,17.12,0,2.14,36.37,32.09,2.14,4.28,0,9.63,0,0,0
21Day,1.34,0,1.34,243.61,0,0,1.34,0,5.35,16.06,4.02,5.35,8.03,0,9.37,5.35,1.34,1.34,1.34,2.68
3Month,0,0,0,11.52,0,0.64,0,0,0.32,0,0,0,0,0,0,0,1.6,0,0,0
22Month,0,0,1.09,0,0,0.55,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0
