stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,3.21,0,0,0,77.02,4.28,0,0,0,0,4.28,0
21Day,0,4.02,4.02,0,0,0,0,0,2.68,1.34,0,1.34,2.68,0,1.34,0,58.9,9.37,1.34,1.34,2.68,0,2.68,4.02
3Month,0.32,2.24,0,0.32,0.64,0,2.88,0,0.32,1.6,0,0.32,0.64,0,0,0.64,0,0,0,0,0,0.32,0,0.32
22Month,0,0.55,0,0,0.55,0.55,10.39,0.55,0,0.55,0,0,1.09,0.55,0.55,0,0,0,0,0,0,1.09,0,0
