stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,4.09,0,0,0,8.17,12.26,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,1.07,4.28,0,0
21Day,0,1.34,2.68,1.34,0,0,0,1.34,0,0,0,1.34,1.34
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0
