stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,6.42,2.14,0,1.07,0,0,0,3.21,7.49,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,6.69,0,0,0,0,0
3Month,0.32,1.28,2.24,9.92,0,0,0,0.32,0.96,1.6,0,25.92,1.28,0,3.2,2.88,4.16,1.6,3.2,0,0.96,1.92,0.96,0,0,0,0,0,2.24,173.41,0.96,0,1.92,74.23,0.64
22Month,0,3.28,1.64,10.93,0.55,0,0.55,0,2.19,2.19,1.09,124.09,0.55,0.55,2.19,3.83,1.64,1.09,1.64,5.47,0.55,0,0,0,1.09,0.55,4.37,0.55,0.55,53.57,0,0,0.55,0,0
