stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,57.21,253.36,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,10.7,1.07,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,7.49,0,0,0,0,56.7,19.26,8.56,0,0,0,1.07,0,0,0,0,0
21Day,5.35,13.39,0,68.27,0,2.68,0,2.68,0,0,0,5.35,0,0,0,0,0,0,9.37,0,0,124.48,0,24.09,8.03,29.45,0,0,0,5.35,1.34,0,0,0,0
3Month,1.28,22.08,2.24,38.39,0.32,0,4.48,0,4.48,4.8,0,20.16,11.52,0.96,14.08,1.28,8.96,9.28,13.76,2.24,0.32,71.67,3.84,9.6,0.64,40.63,0.32,7.36,10.88,0.32,0,2.88,686.93,8.32,5.76
22Month,0,62.32,0,7.11,0,0,0.55,0,0.55,2.73,5.47,33.35,2.73,0,1.64,1.09,1.09,3.28,6.01,0,0.55,15.85,0,0,0,45.92,0,0.55,1.09,0.55,0,0,158.53,0,1.09
