stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,20.43,138.94,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,1.07,0,0,0,0,0,4.28,6.42,7.49,3.21,0,0,0,0,164.75,65.26,3.21,4.28,0,0,3.21,0,13.91,0,0,0
21Day,2.68,0,0,10.71,1.34,2.68,0,0,0,0,0,0,2.68,0,0,0,1.34,12.05,6.69,1.34,0,0,2.68,87,41.49,9.37,1.34,6.69,0,4.02,0,9.37,0,0,0
3Month,0,0.64,0.32,5.76,0,0,0.32,0,2.24,17.6,0,14.72,8.64,0.32,4.16,3.52,2.88,8.32,2.24,0.64,0,0.96,2.24,0.32,0,3.2,0,0.96,7.36,0.32,0,0,0.96,13.44,2.24
22Month,1.64,3.28,0.55,8.75,0,0,1.09,0.55,2.19,32.25,2.19,82.54,21.87,1.64,13.67,0.55,1.09,16.95,8.2,0.55,2.19,1.64,0,1.64,0,9.29,0,0.55,0.55,3.28,0.55,0,1.09,0,2.19
