stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,12.26,20.43,53.12,8.17,0,0,0,0,0,16.35,24.52,163.46,0,0,0,40.86,1037.95,0,20.43,0,0,0,0,0
72hpf,0,1.07,5.35,1.07,2.14,0,0,0,3.21,5.35,0,16.05,0,1.07,1.07,57.77,34.23,0,7.49,0,5.35,0,3.21,0
21Day,0,0,2.68,0,1.34,0,1.34,0,0,0,0,4.02,0,1.34,0,9.37,2.68,0,4.02,0,0,1.34,1.34,0
3Month,0,0,0,0,0,0,0,0.32,0,0,0.32,0.32,0,0,0.32,0,0,0,0,3.2,0,0,0,0.64
22Month,0,0,1.64,0,0,0.55,0,10.39,0,0.55,0,1.64,1.09,0,0,0,0,1.09,0,2.73,0,0,0,0
