stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,8.56,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,4.02,0,0,26.77,0,0,0,0,1.34,0,0,1.34,1.34,0,1.34
3Month,0,2.24,0,0.64,0.64,0,5.12,1.28,0.32,0.32,0,51.51,0,0.32,0,0.32,0,0,0.32,0.32,0,0.64,2.56
22Month,0.55,0.55,0,0,0.55,0.55,10.39,0,0,0,1.64,20.77,0.55,0,0.55,0,0.55,0,0,0,0,0,0.55
