stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,26.74,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,7.49,7.49,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,291.8,5.35,0,1.34,0,0,0,0,0,0,5.35,0,4.02,10.71,6.69,6.69,0,0,2.68,0,10.71,4.02,0,0,0,5.35,2.68,0,1.34,0,2.68,0,0,0
3Month,0.32,1.28,0.32,121.58,0,0,0,0,0.32,2.24,0,12.48,3.2,0.32,1.92,1.28,14.08,10.56,1.6,0.64,0,11.2,0.64,0.32,0,0.32,0.64,0,0,0.64,3.84,0,0,0,14.08,2.24,3.2
22Month,0,1.09,1.09,247.09,0,0.55,0,0.55,0.55,7.65,0.55,25.15,6.01,0.55,0.55,2.19,4.37,4.37,7.65,0,1.09,9.29,0,0,0,1.09,1.64,0.55,0,0,8.2,1.09,0.55,0,0,0,0
