stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,4.09,4.09,12.26,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,9.63,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,4.02,0,0,1.34,1.34,1.34,0,0,1.34,0,5.35,0,1.34,0,0,0,0,0,0,0,0,2.68
3Month,1.6,1.92,59.83,1.6,0,0,0.64,0.96,10.56,27.2,13.44,6.08,7.36,4.48,2.56,21.12,5.12,1.6,0,2.24,2.88,20.48,0,15.04,0.32,2.24,15.68,1.92,0,0.96,0.64,751.88,20.48
22Month,0.55,0,19.13,0,0,0.55,0.55,0,9.29,20.23,1.64,11.48,3.28,0.55,0.55,13.12,2.19,0,0.55,0.55,0.55,4.37,0,3.28,0,0,12.03,1.09,0,0,0.55,0.55,14.21
