stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,735.55,0,0,16.35,0,0,0,0,0,0,0,0,0,0,8.17,0,0,12.26,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,414.01,10.7,0,3.21,2.14,2.14,0,0,0,0,0,0,0,0,5.35,7.49,1.07,9.63,4.28,0,0,11.77,9.63,0,0,5.35,0,0,0,0,2.14,0,0
21Day,417.62,2.68,0,10.71,8.03,8.03,2.68,0,0,0,2.68,0,1.34,1.34,32.12,4.02,1.34,8.03,0,2.68,0,12.05,5.35,0,0,5.35,12.05,1.34,1.34,5.35,1.34,0,0
3Month,5.12,3.52,0.32,6.4,0.96,0,0,0.64,0.32,0,1.92,0.96,0,0.64,2.56,0.32,0.64,1.6,0.32,0.64,0.96,0,0,0.64,0,0,1.28,20.48,0,0,0.32,1.28,0.32
22Month,3.28,6.01,0,8.2,4.92,0,0,0,2.73,6.01,36.08,1.09,0.55,3.83,3.28,2.73,5.47,5.47,1.09,1.64,0,0,0.55,5.47,0.55,0,0.55,24.6,0,0,0.55,0,0.55
