stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,1.07,123.03,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,2.14,0,0,17.12,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,1.34,1.34,0,239.6,0,33.46,0,0,0,0,2.68,0,1.34,1.34,1.34,0,0,2.68,0,0,0,0,0,0,0,0,1.34,5.35,0,0,1.34,0,0,0
3Month,0.32,1.28,2.88,6.72,0,0,8.32,0.64,0.32,1.6,3.52,0.32,636.7,5.12,0,12.48,2.56,1.28,1.92,6.4,1.92,1.28,0.64,1.6,2.24,0,0.32,1.28,0,10.88,5.12,0,0,0.96,1.92,3.2
22Month,0.55,2.19,1.09,2.73,0,0,2.19,0.55,0,0,6.56,1.09,809.05,0.55,0,2.73,0.55,1.09,3.83,4.92,0,15.85,0.55,0,0,0,1.09,1.09,0,0.55,1.64,1.09,0,0,0,0
