stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,5.35,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,1.34,4.02,2.68,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,6.69
3Month,2.24,0,0.32,0.96,17.6,14.08,30.08,0,0.64,0,8.96,0.64,0,0,0.96,0.32,0.32,0.32,0.32,0.96,0,0.32,0.32,0.32,12.48
22Month,0.55,0,0,0,77.08,11.48,27.33,1.09,0.55,0,22.41,0.55,1.09,0.55,0,0,0,0,0,0,1.09,0,0,0,9.29
