stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,3.21,1.07,0,1.07,1.07
21Day,0,4.02,1.34,2.68,0,0,0,0,0,2.68,0,0,2.68,0,0,1.34,0,1.34,1.34,0,0,1.34,0
3Month,0,0.96,0,0,0.32,0.32,1.28,0.32,0.32,0.32,0.96,0,0,0.32,0,0.32,0.64,0,0,0,0.64,0,0
22Month,0,0,0,0,0,1.09,3.28,0,0,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0
