stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
3Month,0,0.32,1.92,0.32,0.32,0.32,0.32,0,0,0,0.64,0.64
22Month,0.55,2.19,2.73,0,0.55,1.09,0,1.09,0.55,1.09,0,0
