stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,22.47,0,0,0,0,0,0,0,0,0,0,161.54,0,1.07,0,0,11.77,5.35,0,3.21,0,0,0,0,0,0
21Day,4.02,1.34,0,187.39,2.68,0,0,0,0,1.34,0,1.34,0,6.69,123.15,1.34,2.68,0,0,8.03,2.68,0,1.34,4.02,0,0,1.34,0,0
3Month,0.32,0.32,0.32,78.39,0,0.64,0,0.96,0,4.16,0.64,0,1.92,0.96,1.6,1.28,0.96,0,0.32,0,0,0.32,0,0,2.88,0,0,0.32,0.64
22Month,0,0,0,3.83,0,0,0.55,1.09,0.55,11.48,1.09,0,0,0,0.55,1.09,0,0.55,0,0.55,0,0,0,0.55,0,0.55,0,0,0
