stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell
72hpf,0,0,0,0,1.07,1.07,0
21Day,0,0,1.34,0,0,0,0
3Month,0.32,0.32,0,0.32,0.32,0,0.32
22Month,1.09,0,0,0,0,0,0
