stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,4.09,57.21,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,2.14,0,0,0,0,4.28,2.14,0,0,1.07,0,0,0
21Day,0,0,6.69,1.34,0,0,0,0,0,1.34,0,1.34,0,0,4.02,2.68,1.34,0,0,0,0,0
3Month,0,0.32,1.28,0,0.32,0.32,5.76,1.28,0,1.6,0.32,1.28,0.32,0.32,0.32,0,0.96,9.28,0,0.32,0.64,0
22Month,0,0,0.55,0,0,0,2.73,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0.55
