stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,93.99,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,44.95,4.09,12.26,0,0,8.17,261.53,69.47,0,0,0,0,0,0,0,20.43,0,0,0
72hpf,1.07,33.16,0,5.35,0,0,0,1.07,0,0,0,0,0,0,0,0,4.28,69.54,19.26,8.56,0,0,14.98,84.51,5.35,0,0,0,9.63,1.07,1.07,3.21,12.84,0,0,0
21Day,6.69,4.02,34.8,56.22,0,0,0,0,0,2.68,0,0,0,0,0,1.34,0,54.88,12.05,14.72,0,1.34,5.35,25.43,8.03,0,0,0,8.03,4.02,4.02,0,4.02,0,0,1.34
3Month,0,39.35,66.87,95.66,0.64,0,0.64,0.64,1.28,3.84,3.2,0,12.16,6.08,0.32,5.44,3.52,2.24,20.8,42.23,4.48,0.96,156.46,2.56,0.64,0.96,0.64,0,0.64,3.84,38.39,0.64,4.48,1.6,12.8,3.52
22Month,0,13.67,19.13,27.88,0,0,0,0,1.64,1.09,2.73,109.33,26.79,2.19,0.55,3.28,1.09,0.55,19.68,10.39,0.55,0.55,9.29,2.19,1.09,1.64,0.55,1.64,0.55,0,23.51,0,0,0,0,1.09
