stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,2.14,1.07,1.07,2.14,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,1.92,0.32,0.96,0.32,0.64,0,0,0,0.32,0.32,0.32
22Month,0,0.55,0,0,0,0.55,0,0,0,0,0,0
