stage,Enterocyte,Granulocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,12.26,4.09,0,0
72hpf,0,0,0,1.07,16.05,1.07,1.07,1.07
21Day,1.34,0,0,0,5.35,0,0,5.35
3Month,0,0.32,0.32,0,0,0,0,0
