stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,20.33,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,1.34,0,0,10.71,1.34,0,1.34,0,0,0,0,0,0
3Month,0.32,0,0.32,5.76,1.6,1.92,0.64,0.32,0,2.24,0.32,0.64,0.32,0.32,0.32,0,0,0.32,0,0.32,1.6
22Month,0,0.55,0.55,3.83,0.55,1.64,3.83,0,0.55,4.92,0.55,0,2.19,0.55,0,0,0,0,0.55,0,0.55
