stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,3.21,8.56,0,0,0,0
21Day,0,0,0,0,0,0,1.34,1.34,2.68,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0
3Month,1.6,1.6,2.56,4.16,1.6,0,5.12,0,0.96,0,1.6,0.32,0,0,1.6,0.32,0.64,0.32,0.32,16,8.32,0.32
22Month,0,1.09,0.55,10.93,0,0.55,4.92,0,0,0.55,0,0,0.55,0.55,0.55,0,0.55,0,0,3.28,0,0.55
