stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0,2.14,0,0,0,0,0,42.79,1.07,0
21Day,0,0,0,0,0,1.34,0,4.02,0,0
3Month,0.32,0,0,0.64,0,0,0.32,2.56,0,0
22Month,0,0,0.55,7.11,1.09,0,0.55,0,0,0.55
