stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,44.95,61.3,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,18.19,1.07,0,1.07,0,0,0,0,0,0,0,25.67,147.63,0,1.07,0,2.14,0,0,5.35,4.28,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,115.11,1.34,0,1.34,0,0,0,5.35,0,0,0,38.82,61.57,1.34,1.34,0,0,1.34,0,2.68,4.02,0,1.34,0,1.34,0,1.34,1.34,0,0,0
3Month,0,0.96,0.96,85.75,0,0.64,0,0.32,1.28,0,50.87,1.92,0,3.2,7.36,4.16,1.6,3.52,0.32,0,0.64,1.6,0.64,0,0.64,0.32,0,0,1.6,0.96,0,0.32,0.32,0.64
22Month,0.55,2.19,1.09,25.15,0,0.55,0,1.64,2.73,18.59,250.91,1.09,0.55,12.57,6.01,1.64,3.28,6.01,0,3.28,0.55,0,0.55,0,0.55,0.55,0.55,0,0.55,1.09,0.55,0,0,1.09
