stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,20.33,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,9.37,2.68,1.34,4.02,0,0,1.34,0,32.12,0,0,0,5.35,0,0,1.34,0,0,0,0,2.68,0,2.68,1.34,0,0
3Month,0.32,5.12,2.56,0,3.84,0.64,0,4.8,0.64,114.86,0.32,0.96,0.32,0.96,0.32,0,0,0,0.64,0.96,0,0.96,2.24,0,0,1.6,0.64
22Month,0.55,5.47,1.09,0,4.37,2.19,0.55,14.76,1.09,166.18,0,0,0.55,0.55,0.55,2.19,0,0,0,1.09,0.55,0.55,1.64,0,0,0,0
