stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,2.14,1.07,0,0,1.07,1.07,0,0,0,0
21Day,4.02,0,1.34,0,0,0,0,2.68,6.69,1.34,0,0,0,4.02,0,0,0
3Month,0.96,0,0,0.64,0.32,1.92,0.32,0.32,0,0,0.32,0.32,0,0,35.51,15.68,0.64
22Month,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,3.83,0,0
