stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0
21Day,2.68,0,0,0,0,29.45,1.34,1.34,2.68,4.02,4.02,0,4.02,4.02,2.68,0,38.82
3Month,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,3.28,1.09,0,1.09,0,0,0,0,1.09,0.55,0,0,0,0
