stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,12.26,4.09,4.09,0,0,4.09,4.09,0,0,0,0,16.35,12.26,44.95,0,0,0,8.17,2537.66,0,0,4.09,0,0,8.17,0,8.17,0,0,0
72hpf,5.35,1.07,0,9.63,3.21,2.14,0,0,0,0,0,1.07,0,1.07,33.16,1.07,9.63,3.21,0,0,40.65,254.61,1.07,0,14.98,0,0,113.4,0,1.07,0,0,0
21Day,2.68,0,0,9.37,1.34,2.68,0,1.34,0,0,0,0,0,0,6.69,4.02,4.02,0,0,0,4.02,124.48,0,1.34,17.4,2.68,0,48.19,0,0,0,0,0
3Month,0,0,0,16,0.64,0,0.64,0,0,5.76,0.64,0,0.96,0.32,3.2,1.28,0.32,0,0.96,0.96,0,0.64,0,0,0,0.64,2.88,1.6,0,0,0.32,0.64,0.64
22Month,0,1.09,1.64,3.83,0.55,0,0,2.19,0,17.49,0.55,0.55,2.73,0,0.55,2.73,2.19,0,0,0,0.55,0,0,0,0,0.55,1.64,8.2,0.55,1.09,0,0,0
