stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,5.35,2.14,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,4.02,9.37,0,0,0,2.68,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,3.84,0,0.32,0.32,6.4,7.04,14.08,0,1.28,1.92,2.88,3.52,0.32,0,0.32,0,0,0,0,0.96,0,0.96,0,0.32,0.32,0.64,4.16
22Month,0.55,1.64,0.55,3.83,0,0,0.55,19.13,26.24,15.85,0.55,1.64,1.09,7.11,3.83,1.09,3.28,0,0,0,1.09,1.09,0.55,1.09,0,3.28,0,0,0,1.64
