stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,2.14,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,1.34,0,8.03,0,0,0,0,0,0,0,1.34,6.69,4.02,0,0,0,0,5.35,4.02,0,0,8.03,0,4.02,1.34,0,0,0,0
3Month,0,0,4.48,0,0.64,0,0.32,0.96,31.36,0.32,0.32,1.28,1.28,0.96,1.6,5.12,0.64,0,0.64,1.28,0.64,0.32,1.92,0,0.96,1.6,67.83,0,0,1.92,24.64,0.96
22Month,0,3.28,2.19,0,1.09,0,0.55,0.55,38.81,0,0.55,15.85,0.55,0,1.64,6.56,0.55,3.83,0.55,0,0,0,1.64,0.55,0,0,24.05,0,0.55,0,0,0
