stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,2.14,3.21,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,2.14,0,1.07,0,1.07,31.02,16.05,0,0,4.28,0,0,1.07,0,1.07,0,0,0
21Day,6.69,0,4.02,0,1.34,0,8.03,0,1.34,0,0,0,4.02,0,0,2.68,4.02,17.4,0,0,1.34,0,6.69,20.08,0,0,13.39,4.02,1.34,2.68,1.34,1.34,0,0,1.34
3Month,0,0,5.12,0,0,0.32,0.32,0.32,2.88,0,12.8,2.24,0,3.84,0.96,2.88,0.96,2.88,0.64,0,0,0,0.32,0,0,0.96,0,0.32,17.28,0.32,0,0,1.28,4.16,1.6
22Month,0,0.55,1.64,0,0,0.55,2.19,0,1.64,1.09,29.52,1.64,1.09,3.28,0,0.55,2.73,1.64,0,1.09,0,0,0,0,0.55,0,0,0,4.92,0,0,0,0,0,0
