stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,4.09,0,0,0,0,0,0,8.17,57.21,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,4.28,6.42,0,0,0,0,0,0,0,0,0,6.42,10.7,0,4.28,0,0,0,273.87,16.05,2.14,1.07,0,1.07,0,0,1.07,2.14,0,0,0
21Day,0,0,0,42.83,1.34,8.03,0,1.34,1.34,2.68,0,1.34,1.34,2.68,0,0,8.03,1.34,6.69,0,0,1.34,151.25,12.05,4.02,4.02,0,4.02,0,5.35,4.02,0,0,0,2.68
3Month,0,0.32,0.64,15.36,0,0,0.32,0,14.72,0.96,0,5.44,1.28,0.64,1.28,0.64,7.68,2.88,3.2,0.96,0,0.64,3.52,0.32,5.76,0,0,0.32,0.32,34.87,0,0.64,0.96,6.08,8.96
22Month,0,0.55,2.73,7.65,0,0,1.09,0,13.12,0,0,17.49,1.09,2.73,26.24,0,1.64,1.09,6.01,0,0.55,0.55,3.28,0,9.84,0,1.09,0,0,15.31,1.09,0,0.55,0,2.73
