stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,28.6,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,4.28,14.98,0,5.35,0,0,1.07,92,12.84,0,0,5.35,0,0,0,21.4,6.42,0,0,0,0
21Day,4.02,0,0,14.72,1.34,0,0,0,0,0,4.02,0,1.34,1.34,0,8.03,0,0,0,96.37,13.39,0,1.34,10.71,2.68,6.69,1.34,82.99,175.35,2.68,0,0,1.34
3Month,0,0,0.96,5.44,0,0.64,0.32,1.6,5.44,2.24,0,3.52,0.32,0.64,1.6,1.92,0.32,0,0.32,1.92,0.32,1.6,0.32,0,1.28,125.1,0.96,0.96,0,0,1.28,40.31,1.28
22Month,0,1.09,0.55,1.64,0,0,0.55,1.64,27.33,0,0,7.65,0,0,1.64,2.73,0,1.09,0,1.09,0,1.09,0,0,0,24.05,1.64,13.67,0,0,0.55,0,0
