stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,1.07,0,1.07,0,0,3.21,0,4.28,0,0,1.07
21Day,2.68,0,1.34,0,1.34,0,0,0,1.34,1.34,2.68,0,2.68,0,4.02,0,2.68,1.34,0,1.34,1.34
3Month,0.32,0.32,1.28,0,0,0.32,0,1.6,0,0.32,0.64,0.32,2.88,0.64,0,0,0,0,0.32,0.32,0
22Month,0,0,0,0,0,0,0.55,2.73,0,0.55,0,0,4.37,0,0,0,0,0,0,0,0
