stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,8.17,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,9.63,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,1.34,0,1.34,0,0,4.02,5.35,2.68,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,2.68
3Month,0.64,0.64,3.52,0,0,0.64,1.28,3.52,0.32,0,0.64,1.28,0.96,3.2,0.64,0.32,0,0.32,0,0.32,0.64,0,0,0.96,79.03,0,98.22,1.6
22Month,0,0,0.55,0,0.55,0,0.55,4.92,0,0,1.09,0,1.09,1.64,0.55,0,0.55,0,0,0.55,0,3.83,0,0,20.77,0,0.55,0
