stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,2.14,1.07,0,0,0,0,0,0,3.21,0,4.28,0,0,0,213.96,14.98,0,2.14,2.14,0,0,11.77,0,0
21Day,5.35,2.68,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,52.2,5.35,1.34,0,0,1.34,0,2.68,0,0
3Month,0,0.32,0,0,0.64,0.32,2.88,0.64,0,0.96,0.32,0.32,0.32,0,0,0.32,0.32,0,0,0,0,0.32,1.28,0.32,0.64,0.64
22Month,0.55,2.19,0.55,0,0,0.55,12.57,0,1.09,0,0.55,0.55,0,0.55,1.09,0,0.55,0,0,0,0,0,0,0,0,1.09
