stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,1.07,0,0,2.14,0,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,4.02,1.34,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0.32,9.92,0.32,0,0.32,0.64,0,0,0.32,0,0,0.32,0.32,0.32,2.24,0.64
22Month,0,0,0,3.28,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0
