stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,4.09,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,5.35,0,0,0,0,1.07,1.07,0,0,0,1.07
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0,1.28,0.32,0,0,0,0,0.32,0.32,0
22Month,0.55,0,0.55,3.28,0,0,0,0,0.55,0,0,0
