stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0.32,0.64,0.32,0.32,0.32,0,0.32,0,0,0,11.2,8
22Month,0,0,0,0.55,1.09,0.55,0.55,0,0.55,0,0,7.11,0
