stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,3.21,1.07,0,0,0,0,6.42,0,0,0
21Day,2.68,0,2.68,0,2.68,0,0,34.8,0,0,45.51,5.35,1.34,1.34,0,1.34,2.68,1.34,0,0,0,6.69
3Month,0,0.64,3.52,0,7.36,1.6,1.92,0,1.28,1.28,40.63,1.28,0,0,0,0,0.96,0.64,0,0.32,0.64,10.56
22Month,0,0.55,2.19,0.55,7.11,3.83,2.19,1.09,0.55,0,21.32,0,0,0.55,0.55,0,0,1.09,0,0,0,8.75
