stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,98.07,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,2.14,0,0,0,0,0,0,0,6.42,1.07,2.14,0,1.07,1.07,0,364.8,26.74,0,1.07,3.21,0,0,7.49,0,0,0,0
21Day,0,0,0,5.35,4.02,0,0,0,0,0,0,1.34,1.34,0,1.34,0,0,0,0,81.65,9.37,0,1.34,0,1.34,0,8.03,0,0,0,0
3Month,0,0.32,0.32,11.84,0,0.32,0.64,0.32,3.84,0,0.64,0,0.96,0.96,1.28,0.32,0,0,0.32,0.96,1.92,0.64,0,0.32,0.32,16.32,0.64,0.32,2.56,8.64,0.32
22Month,0,0,0.55,0.55,0,0,1.09,0,5.47,0.55,0.55,0,0.55,2.19,1.64,0,0,0,0,1.64,0,0.55,0,0,0,19.68,0,0,0,0,0
