stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,4.09,73.56,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,1.07,1.07,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,37.44,28.88,1.07,0,2.14,0,0,5.35,1.07,1.07,0,0,0
21Day,2.68,0,0,13.39,0,0,0,0,0,0,0,0,1.34,0,6.69,1.34,9.37,0,0,1.34,20.08,4.02,0,0,2.68,0,0,1.34,0,1.34,0,0,0
3Month,0,0.96,0.96,27.2,0,0,0.32,0.64,1.28,4.8,0.64,0,0.32,0.32,9.6,0.64,0.64,0.64,0,0.64,0.96,0,0.64,0,0,0.64,2.56,0.32,0,0,2.56,3.2,0.64
22Month,0,1.09,0.55,4.92,0,0,0,0.55,1.09,27.88,1.09,1.64,1.64,0,1.64,1.09,1.09,0,0.55,0,0,0,1.09,1.09,0,0.55,0.55,1.64,0,0,0,0,0.55
