stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,8.17,4.09,0,0,0,0,0,0,0,4.09,0,4.09,93.99,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,1.07,0,0,1.07,0,17.12,14.98,0,1.07,1.07,0,0
21Day,0,4.02,0,1.34,0,1.34,0,0,1.34,2.68,4.02,0,2.68,12.05,0,2.68,0,0,0
3Month,0.32,0,0,0,3.52,0.32,0.64,0.32,0.64,0.32,0.32,0.64,0,0.32,0.32,8.64,0,17.6,0.64
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0
