stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,4.09,0,0,0,12.26,0
72hpf,0,1.07,1.07,1.07,0,0,0,0,7.49,43.86,13.91,6.42
21Day,1.34,0,0,0,0,0,0,0,5.35,4.02,9.37,0
3Month,0,0,0,0,0.32,0.32,0,0.32,0,0,0,0
