stage,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,8.17,4.09,0,16.35,0,0
72hpf,1.07,0,1.07,1.07,3.21,3.21,1.07,0
21Day,2.68,0,0,1.34,2.68,0,2.68,1.34
22Month,0,0.55,0,0.55,0,0,0,0
