stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,14.98,2.14,0,0,4.28,0,0,0
21Day,1.34,0,0,0,0,0,0,5.35,0,0,0,4.02,0,0,0
3Month,2.88,0,0.32,1.28,0.64,0,0,0.32,0,0.32,0.32,0,0.32,0.64,0
22Month,2.73,1.09,16.4,1.64,0,0.55,0.55,0,0.55,0,0.55,0,0,0,0.55
