stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,6.42,0,1.07,0,2.14,0,0,0
21Day,0,1.34,0,0,0,1.34,0,0,2.68,1.34,2.68,0,1.34,1.34,0,0
3Month,0.32,1.92,0.32,0.32,0,0.96,0.64,0.64,0.32,0,0.32,0.32,0,0,0,0.32
22Month,0,0.55,0,0,1.09,1.09,1.09,2.73,0,0,0,0,0,0,0.55,1.64
