stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,0,0,0,0,0,0,0,2.14,10.7,2.14,7.49,0,4.28,3.21,2.14,0,0,0,0,0,0
21Day,0,0,1.34,8.03,1.34,0,1.34,0,0,2.68,0,1.34,2.68,5.35,0,0,1.34,0,0,4.02,0,0,1.34,0,0
3Month,0,0.32,0.32,3.2,0,0.32,0.96,0.96,0.64,0,0.64,0.32,1.6,0.96,0,0.32,0,0,0,0,0.32,0.32,0,0.64,1.6
22Month,0,0.55,0,0,0,0,0.55,1.64,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,1.09,0,0,0
