stage,Cardiomyocyte,Erythrocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,24.52,0,0,4.09,0
72hpf,11.77,0,6.42,0,0
21Day,9.37,1.34,0,0,2.68
