stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
21Day,0,1.34,2.68,6.69,1.34,1.34
22Month,1.09,0,0,0,0,0
