stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell
72hpf,0,0,0,0,0,9.63
21Day,0,0,0,0,1.34,0
3Month,0.32,0.32,0.32,0.96,0,39.67
