stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,9.37,14.72,0,0,0,0,1.34,0,0,0,0,38.82,1.34,6.69,0,1.34,0,0,1.34,0,0,1.34,6.69,0,2.68,0,0,0,0,0,0
3Month,0,0.96,1.6,32.63,1.92,0,0,21.44,4.8,0,50.23,2.88,0.32,248.6,0.64,2.24,8.32,4.16,0.96,0.32,47.99,0.64,0.32,0,41.59,0.64,0,4.16,3.52,0,1.6,1.6,14.08
22Month,1.64,0,3.28,44.28,1.64,0.55,0.55,193.52,2.19,0.55,524.24,1.64,0.55,33.89,0,0,1.64,5.47,0,14.76,21.32,0,0.55,0,134.48,0,0,0.55,3.83,0.55,0,0,1.64
