stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,5.35,0,0,0,281.36,13.91,0,0,2.14,0,0,1.07,0,0
21Day,0,0,0,4.02,2.68,0,0,0,0,1.34,0,1.34,0,1.34,0,1.34,2.68,0,0,0,92.36,13.39,0,0,0,2.68,0,0,2.68,0
3Month,0,0.32,0,3.2,0,0,0,2.24,0,8,0.96,0,0.64,0.32,1.28,0.64,3.2,0.32,0,0.64,1.6,0.32,0.64,0,0,0,0.32,0,0,1.92
22Month,0,1.09,1.09,4.92,0,0.55,0.55,4.37,1.64,55.76,1.64,1.09,7.65,0.55,0,4.92,10.39,0.55,2.19,0.55,1.09,0,1.09,1.64,0,0.55,0.55,0,0,1.64
