stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,5.35,2.14,0,0,0,0,0,1.07,2.14,0,0,0
21Day,0,0,0,6.69,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,1.28,1.28,48.63,0.96,0.64,0,2.88,4.48,0.64,25.92,3.84,0.64,9.28,6.72,4.16,2.24,5.44,0.64,0.32,2.56,1.6,3.2,1.28,3.52,0.32,0.96,4.8,62.39,1.28,0.64,1.28,1263.48,3.2
22Month,1.09,0.55,0,25.69,0.55,0,0.55,0,0.55,0,20.77,1.09,0,2.19,1.64,0,0,3.28,0,0.55,0,0,0,0.55,1.64,0,0,0,40.45,1.09,0,0,7.11,0
